SOMAID,Gene,UniProt,Weight,seqid_sl,seqid_dot
SEC22A.13713.164.3,SEC22A,Q96IW7,-0.034530997,SL020224,13713.164
RHOD.12442.4.3,RHOD,O00212,-0.034502527,SL019715,12442.4
APOE.5312.49.3,APOE,P02649,0.032970994,SL000277,5312.49
SPOCK3.9906.21.3,SPOCK3,Q9BQ16,0.032289958,SL012805,9906.21
LHB.8376.25.4,LHB,P01229,0.032209685,SL018465,8376.25
MAPKAPK3.3822.54.2,MAPKAPK3,Q16644,0.031637788,SL004765,3822.54
IGF1.2952.75.2,IGF1,P05019,-0.031477606,SL000047,8406.17
VAPB.7181.17.3,VAPB,O95292,-0.031093639,SL010829,7181.17
CXCL10.4141.79.1,CXCL10,P02778,0.030932124,SL003183,4141.79
PHF3.11544.39.3,PHF3,Q92576,-0.030839171,SL010933,11544.39
FCER2.3291.30.2,FCER2,P06734,-0.030815887,SL002706,3291.3
GFRAL.6920.1.3,GFRAL,Q6UXV0,0.030140805,SL018027,6920.1
CD86.5337.64.3,CD86,P42081,-0.029386763,SL004131,6232.54
UBE2J1.6900.30.3,UBE2J1,Q9Y385,-0.029368161,SL016535,6900.3
FBXO3.14628.72.3,FBXO3,Q9UK99,-0.02875696,SL020051,14628.72
HMGCS2.13704.5.3,HMGCS2,P54868,-0.02871657,SL014847,13704.5
TXNDC5.11212.7.3,TXNDC5,Q8NBS9,0.028626824,SL008805,11212.7
SLC5A5.12826.5.3,SLC5A5,,-0.028268053,SLC5A5.12826.5.3,
ACLY.12700.9.3,ACLY,P53396,0.028203296,SL007279,12700.9
ATP2A3.13510.7.3,ATP2A3,Q93084,-0.028028256,SL011088,13510.7
LOXL2.6504.65.3,LOXL2,Q9Y4K0,-0.027869614,SL001908,6504.65
MRC1.2637.77.2,MRC1,P22897,0.027489986,SL004579,2637.77
HFE2.3332.57.1,HFE2,,-0.027318736,HFE2.3332.57.1,
FGR.3810.50.2,FGR,P09769,-0.027282988,SL006912,3810.5
ACAN.3280.49.2,ACAN,P16112,-0.026888077,SL004661,3280.49
THBS3.8982.65.3,THBS3,P49746,0.026667693,SL010148,8982.65
CRYGD.12366.16.3,CRYGD,P07320,0.026518359,SL008832,12366.16
EFNA2.14124.6.3,EFNA2,O43921,-0.026417232,SL004843,22580.29
PTPRJ.8250.2.3,PTPRJ,Q12913,-0.02632628,SL008899,8250.2
INSIG1.10663.42.3,INSIG1,O15503,-0.026091354,SL018014,10663.42
CNTNAP2.6965.19.3,CNTNAP2,Q9UHC6,0.02515926,SL017948,6965.19
SLC5A8.13691.10.3,SLC5A8,,0.025070195,SLC5A8.13691.10.3,
LDLR.13129.40.3,LDLR,P01130,-0.025040774,SL007070,13129.4
