gene_simple,gene_tanaka,gene_lehallier,seqid_sl,seqid_dot,seqid_full
CTSS,,CTSS,,3181.50.2,CTSS.3181.50.2
SMR3B,,SMR3B,,8595.75.3,SMR3B.8595.75.3
G0S2,,G0S2,,8931.124.3,G0S2.8931.124.3
HTN1,,HTN1,,10608.9.3,HTN1.10608.9.3
GRID2,,GRID2,,12758.47.3,GRID2.12758.47.3
RPN1,,RPN1,,6458.6.3,RPN1.6458.6.3
CLEC4D,,CLEC4D,,7752.31.3,CLEC4D.7752.31.3
UBXN4,,UBXN4,,9970.7.3,UBXN4.9970.7.3
BST1,,BST1,,4535.50.2,BST1.4535.50.2
ENTHD2,,ENTHD2,,7947.19.3,ENTHD2.7947.19.3
SEMA3A,,SEMA3A,,3222.11.2,SEMA3A.3222.11.2
NELL1,,NELL1,,6544.33.3,NELL1.6544.33.3
IL10,,IL10,,2773.50.2,IL10.2773.50.2
DNAJC10,,DNAJC10,,8297.8.3,DNAJC10.8297.8.3
USP25,,USP25,,9215.117.3,USP25.9215.117.3
CD274,,CD274,,5060.62.3,CD274.5060.62.3
IDO1,,IDO1,,9759.13.3,IDO1.9759.13.3
CREB3L4,,CREB3L4,,11308.8.3,CREB3L4.11308.8.3
SCGB1C1,,SCGB1C1,,5960.49.3,SCGB1C1.5960.49.3
IL18BP,,IL18BP,,3073.51.2,IL18BP.3073.51.2
