SOMAID,Gene,UniProt,Weight,seqid_sl,seqid_dot
10772-21,CSGALNACT2,Q8N6G5,0.000653607385908772,SL017976,seq.10772.21
10781-19,CLEC4G,Q6UXB4,0.0,SL008886,seq.10781.19
10785-8,LRRC52,Q8N7C0,0.0,SL018337,seq.10785.8
10798-4,CD300E,Q496F6,-0.0020762402458190466,SL018456,seq.10798.4
10800-15,SERPINH1,P50454,0.004417989932004675,SL003668,seq.10800.15
10803-22,HSPA1A,P0DMV8,0.0,SL000451,seq.10803.22
10809-14,KLRB1,Q12918,0.0,SL018479,seq.10809.14
10814-7,CD1A,P06126,-0.004464287872064469,SL016708,seq.10814.7
10815-2,HABP4,Q5JVS0,-0.0007115930480600674,SL018601,seq.10815.2
10816-150,PILRA,Q9UKJ1,4.8605552068104664e-05,SL022717,seq.10816.150
10818-36,SMPD1,P17405,0.003503499966328861,SL008921,seq.10818.36
10825-12,VSIG10,Q8N0Z9,0.0018767936034177314,SL018584,seq.10825.12
10827-67,LINGO3,P0C6S8,0.0,SL018590,seq.10827.67
10830-5,EFCAB14,O75071,0.0004606612858535535,SL018596,seq.10830.5
10832-24,B4GALT6,Q9UBX8,-0.0003112141085110674,SL018597,seq.10832.24
10833-64,HHIP,Q96QV1,1.9376642139548392e-05,SL012788,seq.10833.64
10835-25,A4GNT,Q9UNA3,-4.748776038195032e-05,SL018593,seq.10835.25
10842-7,GCNT4,Q9P109,-9.628351160744868e-05,SL018620,seq.10842.7
10847-1,SIGLEC15,Q6ZMC9,4.678320031980352e-05,SL018624,seq.10847.1
10848-137,BTNL3,Q6UXE8,-0.0002720401548265532,SL018632,seq.10848.137
10851-77,EBI3,Q14213,-4.364615562879975e-05,SL007417,seq.10851.77
10852-114,HNRNPDL,O14979,0.004591444350287043,SL012987,seq.10852.114
10866-60,PPP4R3A,Q6IN85,0.0,SL018833,seq.10866.60
10876-300,BRAT1,Q6PJG6,0.00022537149781223196,SL018839,seq.10876.300
10880-38,FAM163B,P0C2L3,0.0006358005942387529,SL018034,seq.10880.38
10882-12,DSC1,Q08554,0.0,SL005718,seq.10882.12
10885-36,C6orf89,Q6UWU4,-0.0006668740417604929,SL016472,seq.10885.36
10889-2,MRAP2,Q96G30,6.829600308437673e-05,SL017998,seq.10889.2
10890-135,LCTL,Q6UWM7,-0.0006093938343293982,SL018026,seq.10890.135
10892-8,OSMR,Q99650,0.0,SL007619,seq.10892.8
10895-28,TMPRSS11B,Q86T26,0.006272376839785141,SL017961,seq.10895.28
10900-272,STMN2,Q93045,-0.0018288018065178318,SL013230,seq.10900.272
10903-50,STX8,Q9UNK0,0.0,SL017987,seq.10903.50
10907-116,NTM,Q9P121,-0.00238991022536317,SL009074,seq.10907.116
10908-2,GALNT13,Q8IUC8,0.0,SL017992,seq.10908.2
10910-6,CEACAM4,O75871,0.0009682765457325949,SL018022,seq.10910.6
10916-44,PLA2R1,Q13018,-0.0038947290189564224,SL013523,seq.10916.44
10917-40,GNGT2,O14610,0.0,SL006983,seq.10917.40
10924-258,CYB5D2,Q8WUJ1,0.00197169636713532,SL018077,seq.10924.258
10933-107,CALN1,Q9BXU9,0.024057890269097812,SL018094,seq.10933.107
10938-13,CD58,P19256,0.0,SL003442,seq.10938.13
10939-16,PLEKHA4,Q9H4M7,0.0003548065907181247,SL018105,seq.10939.16
10940-25,SRL,Q86TD4,-0.0007500502137095062,SL008242,seq.10940.25
10945-11,STX6,O43752,0.0,SL006065,seq.10945.11
10948-14,PLD3,Q8IV08,-0.003948498957491697,SL008958,seq.10948.14
10949-59,RPLP2,P05387,-4.6722081210088985e-05,SL008009,seq.10949.59
10953-14,CLEC2A,Q6UVW9,0.0002643581699453716,SL018252,seq.10953.14
10955-4,CLEC10A,Q8IUN9,-0.02831186762954362,SL014095,seq.10955.4
10956-82,GCSH,P23434,0.00040521487241534004,SL009212,seq.10956.82
10959-125,BET1L,Q9NYM9,-0.00021650469051009348,SL005478,seq.10959.125
10961-15,PLAAT4,Q9UL19,0.0025126759451576277,SL015329,seq.10961.15
10974-20,SPINK7,P58062,6.7664672019040995e-06,SL012454,seq.10974.20
10975-59,MUCL1,Q96DR8,-1.880145648848126e-05,SL008738,seq.10975.59
10977-55,UCMA,Q8WVF2,-0.003200239418077074,SL017252,seq.10977.55
10978-39,GH2,P01242,0.0005248511244268486,SL009327,seq.10978.39
10981-56,NRG3,P56975,-7.029345877885445e-05,SL013799,seq.10981.56
10990-21,LRRK2,Q5S007,0.0020986080369290224,SL017128,seq.10990.21
11067-13,BGLAP,P02818,-5.979263671639289e-05,SL001791,seq.11067.13
11071-1,IL5,P05113,0.01179574773058927,SL000481,seq.11071.1
11089-7,IGHA1|IGHA2,P01876|P01877,-0.004304098988171748,SL000459,seq.11089.7
11094-104,CLC,Q05315,0.0,SL007361,seq.11094.104
11096-57,N6AMT1,Q9Y5N5,0.021788256675606597,SL018921,seq.11096.57
11098-1,PDXK,O00764,-0.0006014401102988399,SL007953,seq.11098.1
11101-18,TLR4,O00206,0.0,SL004489,seq.11101.18
11102-22,REG4,Q9BYZ8,0.006667186119488126,SL012561,seq.11102.22
11103-24,HSPB1,P04792,-0.004045156882341091,SL000448,seq.11103.24
11104-13,CHI3L1,P36222,0.0,SL003340,seq.11104.13
11105-171,ENO1,P06733,0.14391624222536786,SL003650,seq.11105.171
11107-25,TENM3,Q9P273,0.0,SL007735,seq.11107.25
11109-56,SVEP1,Q4LDE5,0.0028319513751687295,SL012540,seq.11109.56
11110-4,TMEM119,Q4V9L6,0.0028431220961445953,SL019320,seq.11110.4
11112-18,TMEM167A,Q8TBQ9,0.0011845657721593903,SL016490,seq.11112.18
11116-16,C11orf87,Q6NUJ2,0.004477932098582629,SL018991,seq.11116.16
11117-2,SPATA20,Q8TB22,-0.00011623387982955274,SL009460,seq.11117.2
11120-49,NAT14,Q8WUY8,0.006235567843437848,SL019329,seq.11120.49
11122-97,SPG21,Q9NZD8,0.0,SL019337,seq.11122.97
11126-102,TRIO,O75962,7.473609603223639e-05,SL007986,seq.11126.102
11128-29,TMEM132C,Q8N3T6,0.0,SL018134,seq.11128.29
11129-66,BMP15,O95972,0.00043824341825014513,SL007065,seq.11129.66
11130-158,CACNB4,O00305,-0.0002690182925139784,SL019338,seq.11130.158
11134-30,MTRF1L,Q9UGC7,-0.00040868022542068084,SL019322,seq.11134.30
11135-5,MRPL55,Q7Z7F7,0.00010110728307191757,SL012643,seq.11135.5
11137-43,CSF2RB,P32927,9.866779906721427e-05,SL007194,seq.11137.43
11138-16,RUNX3,Q13761,0.001591674745703759,SL006056,seq.11138.16
11140-56,COL1A1,P02452,-0.00010675775871671441,SL007932,seq.11140.56
11142-11,ANGPTL1,O95841,-0.005150014486669533,SL012396,seq.11142.11
11143-32,OLFM3,Q96PB7,-0.00026909048764980805,SL012572,seq.11143.32
11144-10,DEFB116,Q30KQ4,-7.027160682675172e-05,SL012527,seq.11144.10
11145-72,KIAA1549L,Q6ZVL6,-0.00022049286897045077,SL019333,seq.11145.72
11146-4,TBX22,Q9Y458,0.0,SL019339,seq.11146.4
11147-17,TREML1,Q86YW5,0.0,SL011259,seq.11147.17
11149-3,TLR1,Q15399,0.0006173199378451863,SL004490,seq.11149.3
11152-46,KLK13,Q9UKR3,-0.059815262203788674,SL003918,seq.11152.46
11154-3,NFE2L1,Q14494,-2.541107164715397e-05,SL007421,seq.11154.3
11155-16,COL6A5,A8TX70,-0.0002209553191312857,SL019315,seq.11155.16
11157-35,HSPA1A,P0DMV8,5.2001663398866974e-05,SL000451,seq.11157.35
11158-40,BICDL1,Q6ZP65,0.0,SL019326,seq.11158.40
11160-56,RNF122,Q9H9V4,0.01701107883145833,SL019335,seq.11160.56
11161-5,SPART,Q8N0X7,-0.0030875454261132815,SL019340,seq.11161.5
11162-37,EQTN,Q9NQ60,0.0,SL019313,seq.11162.37
11163-7,FAM162B,Q5T6X4,0.0005416258612330152,SL019316,seq.11163.7
11164-7,TENM2,Q9NT68,0.00021872172344859886,SL019319,seq.11164.7
11167-6,MTMR1,Q13613,2.1652834108240494e-05,SL019330,seq.11167.6
11168-3,MEGF10,Q96KG7,0.0009705285100653134,SL019053,seq.11168.3
11171-25,FLNA,P21333,0.0,SL005845,seq.11171.25
11173-29,MILR1,Q7Z6M3,0.0,SL019119,seq.11173.29
11174-8,THSD7A,Q9UPZ6,-0.00021474574317120884,SL011312,seq.11174.8
11175-45,LPCAT2,Q7L5N7,0.00010611228008500334,SL018606,seq.11175.45
